City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,los alamos,35.8881,-106.307,6.8799999999999955,39,0,1.54,US,1702337001
205,itaguai,-22.8522,-43.7753,24.79000000000002,88,100,3.6,BR,1702337087
206,waddan,29.1614,16.139,13.020000000000039,78,19,3.39,LY,1702337087
207,porto novo,6.4965,2.6036,27.900000000000034,80,58,2.57,BJ,1702337087
208,tofol,5.3248,163.0078,28.879999999999995,79,75,4.12,FM,1702337087
209,dickinson,29.4608,-95.0513,16.05000000000001,57,0,4.63,US,1702337087
210,usinsk,65.9939,57.5281,-18.23999999999998,94,100,12.2,RU,1702337087
211,chamzinka,54.4019,45.7839,-13.979999999999961,81,100,9.01,RU,1702337088
212,wajir,1.7471,40.0573,26.640000000000043,68,97,5.27,KE,1702337088
213,khash,28.2211,61.2158,11.0,29,85,2.06,IR,1702337088
214,horta,38.5333,-28.6333,13.340000000000032,80,9,0.89,PT,1702337088
215,noosa heads,-26.3833,153.15,26.30000000000001,63,85,3.92,AU,1702337088
216,bubaque,11.2833,-15.8333,28.02000000000004,63,2,5.42,GW,1702337088
217,vanimo,-2.6741,141.3028,28.340000000000032,78,97,3.23,PG,1702337088
218,kudat,6.8837,116.8477,28.960000000000036,84,50,2.57,MY,1702337089
219,harper,4.375,-7.7169,26.510000000000048,82,29,3.14,LR,1702337089
220,ancud,-41.8697,-73.8203,11.800000000000011,82,100,5.31,CL,1702337089
221,horsham,51.064,-0.3272,11.03000000000003,88,40,1.03,GB,1702337089
222,barra de santo antonio,-9.4047,-35.5072,24.600000000000023,77,3,6.42,BR,1702336871
223,wynyard,-41.0,145.7167,18.189999999999998,73,100,3.36,AU,1702337089
224,codrington,-38.2667,141.9667,25.370000000000005,60,87,5.5,AU,1702337090
225,sept-iles,50.2001,-66.3821,-0.7099999999999795,97,100,4.12,CA,1702337090
226,cambebba,-3.6209,-38.8291,28.760000000000048,72,44,4.88,BR,1702337090
227,mwene-ditu,-7.0,23.45,17.900000000000034,97,83,1.24,CD,1702337090
228,isangel,-19.55,169.2667,27.060000000000002,61,75,6.17,VU,1702337090
229,wuyang,31.9925,116.2472,2.6000000000000227,81,99,3.05,CN,1702337090
230,maturin,9.75,-63.1767,24.620000000000005,88,96,3.04,VE,1702336946
231,yung shue wan,22.2333,114.1167,23.710000000000036,86,0,2.21,HK,1702337090
232,alnwick,55.4132,-1.7056,1.7100000000000364,93,40,0.51,GB,1702337068
233,sinabang,2.4803,96.3801,25.80000000000001,82,98,1.19,ID,1702337091
234,aljezur,37.3191,-8.8033,16.379999999999995,93,100,2.48,PT,1702337091
235,lospalos,-8.5186,127.0025,24.140000000000043,85,100,1.43,TL,1702337091
236,flying fish cove,-10.4217,105.6791,24.82000000000005,83,64,3.09,CX,1702337091
237,badger,64.8,-147.5333,-6.069999999999993,82,100,4.63,US,1702337091
238,anloga,5.7947,0.8973,28.110000000000014,76,3,3.75,GH,1702337091
239,kavieng,-2.5744,150.7967,28.340000000000032,80,96,4.37,PG,1702337092
240,dorogobuzh,54.915,33.2972,-2.6499999999999773,95,100,5.09,RU,1702337092
241,kolonia town,6.964,158.206,31.060000000000002,74,75,2.57,FM,1702337092
242,nikolayevsk-on-amure,53.1406,140.73,-25.309999999999974,88,14,2.26,RU,1702337092
243,burao,9.5221,45.5336,18.410000000000025,45,60,3.93,SO,1702337092
244,udachny,66.4167,112.4,-24.849999999999966,97,100,3.83,RU,1702337092
245,kantagi,43.5264,68.5775,-12.439999999999998,58,67,1.62,KZ,1702337092
246,polyarnyy,69.1989,33.4478,-12.95999999999998,91,96,6.91,RU,1702337093
247,dakor,22.75,73.15,17.900000000000034,52,100,2.28,IN,1702337093
248,aiquile,-18.2041,-65.1807,20.400000000000034,62,96,3.57,BO,1702337093
249,thunder bay,48.4001,-89.3168,-2.009999999999991,74,100,5.66,CA,1702336860
250,coquimbo,-29.9533,-71.3436,16.850000000000023,77,0,4.12,CL,1702337093
251,madang,-5.2246,145.7966,28.53000000000003,78,78,1.02,PG,1702337093
252,jinchang,38.4953,102.1739,3.4600000000000364,15,0,4.54,CN,1702337093
253,sitangkai,4.6628,119.3928,27.74000000000001,79,58,4.25,PH,1702337093
254,tokar,18.4254,37.729,26.180000000000007,77,81,2.19,SD,1702337094
255,vorgashor,67.5833,63.95,-18.22999999999999,89,100,6.25,RU,1702337094
256,kamina,-8.7386,24.9906,18.010000000000048,94,100,1.32,CD,1702337094
257,cill airne,52.05,-9.5167,7.580000000000041,96,100,2.11,IE,1702337094
258,alacranes,22.7675,-81.5675,22.27000000000004,80,99,5.59,CU,1702337094
259,ekenas,59.9736,23.4339,-4.5,92,99,5.28,FI,1702336985
260,haimen,23.1935,116.6142,18.939999999999998,85,0,2.31,CN,1702337095
261,santo antonio do ica,-3.1022,-67.9397,24.920000000000016,95,94,0.89,BR,1702337095
262,san antonio de pale,-1.4014,5.6325,26.0,84,100,4.03,GQ,1702337095
263,st. john's,47.5649,-52.7093,12.660000000000025,95,75,10.8,CA,1702337054
264,shenjiamen,29.9576,122.298,8.910000000000025,83,100,10.56,CN,1702337095
265,nuuk,64.1835,-51.7216,1.3400000000000318,86,100,18.01,GL,1702336973
266,kupang,-10.1667,123.5833,27.32000000000005,100,75,1.03,ID,1702337095
267,mount carmel,38.4109,-87.7614,3.8799999999999955,57,6,3.1,US,1702337096
268,bereeda,11.8704,51.0579,23.970000000000027,71,9,2.16,SO,1702337096
269,saldanha,-33.0117,17.9442,16.03000000000003,90,63,8.9,ZA,1702337096
270,glace bay,46.1969,-59.957,14.010000000000048,91,100,13.38,CA,1702337096
271,hami,42.8,93.45,-2.92999999999995,57,100,2.79,CN,1702337096
272,la ronge,55.1001,-105.2842,-11.859999999999957,61,20,6.17,CA,1702337096
273,borogontsy,62.6683,131.1683,-38.369999999999976,100,100,0.61,RU,1702337096
274,yerofey pavlovich,53.9667,121.9667,-33.25999999999999,96,11,1.39,RU,1702337096
275,post,33.1909,-101.3782,16.100000000000023,22,100,2.12,US,1702337097
276,lompoc,34.6391,-120.4579,22.230000000000018,65,0,7.2,US,1702337097
277,ghanzi,-21.5667,21.7833,25.28000000000003,36,42,1.49,BW,1702337097
278,pisco,-13.7,-76.2167,21.03000000000003,78,0,9.77,PE,1702337062
279,labrador city,52.9463,-66.9114,-6.0499999999999545,93,100,2.06,CA,1702337097
280,happy valley-goose bay,53.3168,-60.3315,-0.8299999999999841,86,100,2.06,CA,1702337097
281,fiambala,-27.6871,-67.6149,28.55000000000001,32,13,5.45,AR,1702337097
282,gaigeturi,33.4644,126.3183,11.03000000000003,82,75,4.63,KR,1702337097
283,alofi,-19.0595,-169.9187,27.939999999999998,74,75,3.6,NU,1702337098
284,huilong,31.8111,121.655,5.689999999999998,83,100,7.84,CN,1702337098
285,ambositra,-20.5167,47.25,17.0,97,75,0.96,MG,1702337098
286,saucillo,28.0167,-105.2833,20.5,15,1,1.35,MX,1702337098
287,hoyerswerda,51.4333,14.25,9.03000000000003,81,94,6.92,DE,1702337098
288,mejit,10.2753,170.8646,27.07000000000005,71,30,8.45,MH,1702336876
289,maryborough,-25.5333,152.7,26.420000000000016,52,98,4.13,AU,1702337098
290,remire-montjoly,4.9167,-52.2667,28.02000000000004,83,20,2.06,GF,1702337098
291,megion,61.0296,76.1136,-34.98999999999998,93,84,3.61,RU,1702337099
292,kurchatov,51.6601,35.6521,-1.4399999999999977,97,100,4.38,RU,1702337099
293,touros,-5.1989,-35.4608,26.640000000000043,75,0,6.46,BR,1702337099
294,nova sintra,14.8667,-24.7167,23.110000000000014,68,24,7.18,CV,1702337099
295,las khorey,11.1595,48.1967,24.689999999999998,68,11,2.6,SO,1702337099
